date (float),date (string),latitude,longitude,ekman_upwelling,wind_u,wind_v,sst,wind_speed,sst_diff,sst_decrease,upwelling1day,upwelling3day
18920,2021-10-20,34.833,-123.833,-8.688459e-06,-0.11,8.72,15.53,8.720693779740234,0.019999999999999574,False,0,0
18921,2021-10-21,34.833,-123.833,-1.501337e-06,0.97,4.86,15.71,4.955855122983318,0.1800000000000015,False,0,0
18922,2021-10-22,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,15.74,6.719014585487964,0.02999999999999936,False,0,0
18923,2021-10-23,34.833,-123.833,-2.524511e-07,4.65,-0.42,15.86,4.66892921342785,0.11999999999999922,False,0,0
18924,2021-10-24,34.833,-123.833,-3.3610127e-06,4.72,9.19,15.78,10.3312390350819,-0.08000000000000007,True,0,0
18925,2021-10-25,34.833,-123.833,-8.763003e-06,7.22,-0.48,15.71,7.235938087076201,-0.06999999999999851,True,1,0
18926,2021-10-26,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,15.69,6.719014585487964,-0.02000000000000135,True,0,0
18927,2021-10-27,34.833,-123.833,4.633593e-07,4.56,-1.11,15.88,4.69315458939933,0.19000000000000128,False,0,0
18928,2021-10-28,34.833,-123.833,-2.526137441753986e-06,2.03,-7.13,15.99,7.413352817720198,0.10999999999999943,False,0,0
18929,2021-10-29,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,15.59,6.719014585487964,-0.40000000000000036,True,0,0
18930,2021-10-30,34.833,-123.833,-2.8882446e-06,4.69,-3.73,15.55,5.9924118683548455,-0.03999999999999915,True,1,0
18931,2021-10-31,34.833,-123.833,1.1701641e-05,2.61,6.33,15.79,6.846970132839781,0.23999999999999844,False,0,0
18932,2021-11-01,34.833,-123.833,7.956753e-07,-2.17,6.79,16.16,7.128323786136542,0.370000000000001,False,0,0
18933,2021-11-02,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,16.29,6.719014585487964,0.129999999999999,False,0,0
18934,2021-11-03,34.833,-123.833,3.173748e-08,0.2,0.02,16.43,0.2009975124224178,0.14000000000000057,False,0,0
18935,2021-11-04,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,16.5,6.719014585487964,0.07000000000000028,False,0,0
18936,2021-11-05,34.833,-123.833,-9.699113e-06,2.6,-7.14,16.4,7.598657776212849,-0.10000000000000142,True,1,0
18937,2021-11-06,34.833,-123.833,-4.8776983e-06,2.32,-3.54,16.16,4.232493354985924,-0.23999999999999844,True,0,0
18938,2021-11-07,34.833,-123.833,-4.37948e-06,-0.8,-9.36,16.06,9.394125824152026,-0.10000000000000142,True,0,0
18939,2021-11-08,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,15.98,6.719014585487964,-0.0799999999999983,True,0,0
18940,2021-11-09,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,15.91,6.719014585487964,-0.07000000000000028,True,0,0
18941,2021-11-10,34.833,-123.833,-1.2332584e-05,0.11,-7.01,15.69,7.010862999659884,-0.22000000000000064,True,1,0
18942,2021-11-11,34.833,-123.833,-8.267069e-06,2.46,-8.7,15.8,9.041106127017866,0.11000000000000121,False,0,0
